date,content,tiker,week1_close,week1_open,week1_high,week1_low,week2_close,week2_open,week2_high,week2_low,week3_close,week3_open,week3_high,week3_low,week4_close,week4_open,week4_high,week4_low
2021-11-03 16:40:02+00:00,"Главное по секторам российского рынка   Нефтегазовый сектор  Buy. Все внимание инвесторов приковано к очередному собранию ОПЕК+, которое пройдет уже 4 ноября. А пока нефть продолжает находиться вблизи 7-летних максимумов на фоне сохранения сильного спроса.    Уран  Buy. Повестка развития атомной энергетики продолжает набирать обороты. Уже 12 европейских стран поддерживают включение атомной энергетики в список зеленых источников энергии. Китай планирует построить еще 150 ядерных реакторов к 2035 году, это в 3 раза больше, чем есть в стране сейчас.   Сельхоз сектор  Buy. Из-за энергокризиса в Европе резко выросли цены на удобрения. Это может привести к снижению урожайности и еще большему росту цен на сельхозпродукцию. Российские аграрии выигрывают от роста цен на удобрения, так как договорились с производителями о фиксации цен до конца года.   Девелопмент  Buy. Российский рынок недвижимости имеет кратный потенциал роста - низкая обеспеченность кв.м. и старый жилищный фонд. В следующие 5 лет спрос на недвижимость может превысить предложение почти вдвое, что  может привести к росту цен на квартиры. Помимо этого в секторе происходит консолидация - по некоторым прогнозам число игроков на рынке может сократиться в 4 раза. Крупные игроки будут увеличивать свою долю на рынке, что положительно скажется на их финансовых результатах   Удобрения  Buy. Введенные квоты на экспорт азотных и азотосодержащих удобрений скорее направлены на то, чтобы производители не увеличивали экспорт за счет сокращения импорта. Рынок отреагировал излишне на эту новость, поскольку риски вследствие введения квот минимальны. Таким вариантом в частности является Фосагро , у которого существенная доля удобрений >40% в выручке фосфорные - не подпадающие под квоты.",PHOR,5685.0,5854.0,6005.0,5566.0,5746.0,5700.0,5927.0,5634.0,5630.0,5746.0,5927.0,5324.0,5537.0,5655.0,5786.0,5450.0
2021-11-03 15:32:55+00:00,"ФосАгро  торгуется дешевле своих крупных мировых аналогов. По мультипликатору P/E 2021 года ФосАгро оценивается в 6.8x, средняя оценка крупных производителей удобрений в мире — 12.2x.   Справедливая стоимость акций Фосагро PHOR 7417,5 руб., апсайд +35%",PHOR,5685.0,5854.0,6005.0,5566.0,5746.0,5700.0,5927.0,5634.0,5630.0,5746.0,5927.0,5324.0,5537.0,5655.0,5786.0,5450.0
2021-11-03 14:47:35+00:00,"Фосагро   справедливая стоимость 7471.5 руб., апсайд +35%.  Рыночная цена акций стремится к их справедливой цене",PHOR,5685.0,5854.0,6005.0,5566.0,5746.0,5700.0,5927.0,5634.0,5630.0,5746.0,5927.0,5324.0,5537.0,5655.0,5786.0,5450.0
2021-11-03 14:34:49+00:00,"Введение экспортных квот снижает оценку Фосагро  всего на 0.4%, а акции падают на 2.5% — реакция рынка избыточна.  Какая складывается ситуация? На период с 1 декабря 2021 по 1 июня 2022 правительство ограничивает экспорт   азотных удобрений на уровне не более 5.9 т.  сложных включающих азот на уровне не более 5.35 т.  Что это может значить для Фосагро? Фосагро может перенаправить 14% азотных и 2% сложных удобрений на внутренний рынок, цены на котором на ~50% ниже экспортных.  Это приведет к снижению прибыли компании за следующие 6 мес. на 2.6 млрд руб 5% прибыли за этот период, посчитал источник РДВ.  Фосагро единоразово недополучит 2.6 млрд руб. прибыли — это всего 0.4% капитализации компании. Акции Фосагро падают на 2.5%, что может оказаться избыточной реакцией рынка.",PHOR,5685.0,5854.0,6005.0,5566.0,5746.0,5700.0,5927.0,5634.0,5630.0,5746.0,5927.0,5324.0,5537.0,5655.0,5786.0,5450.0
2021-11-03 06:30:20+00:00,Газпром  не стал бронировать мощности по транзиту газа через Украину и Польшу на 2022 год.,GAZP,333.6,353.0,356.34,331.0,337.62,333.8,359.32,331.61,326.0,334.99,348.0,310.62,345.99,335.0,353.13,331.5
2021-11-03 06:30:20+00:00,Юнипро   МСФО 3кв2021,UPRO,2.782,2.805,2.859,2.777,2.74,2.784,2.809,2.722,2.728,2.742,2.797,2.69,2.803,2.73,2.84,2.717
2021-11-03 06:30:20+00:00,Фосагро   СД о дивидендах и финансовых результатах.,PHOR,5685.0,5854.0,6005.0,5566.0,5746.0,5700.0,5927.0,5634.0,5630.0,5746.0,5927.0,5324.0,5537.0,5655.0,5786.0,5450.0
2021-11-02 13:07:48+00:00,"Новый проект элитной недвижимости Самолета  может принести 37 млрд руб выручки — 62% продаж 2020 года если Самолет доведет свою долю до 100%.  Самолет выкупает 49% проекта Интеко на Фрунзенской набережной в Москве площадью 74 тыс кв. м, средней стоимостью свыше 500 тыс руб. за кв. м.  Потенциальная выручка может быть почти втрое больше. Ранее на этом же участке Газпромбанк-инвест планировал возвести жилой комплекс на 200 тыс кв. м. Подобный проект Самолета вместо текущего на 74 кв. м. будет оцениваться уже в 100 млрд рублей выручки.  Проект может полностью перейти Самолету - через покупку Интеко или через право выкупа всего проекта в случае изменения состава акционеров Интеко.  Покупка доли в проекте направлена на достижение статуса застройщика №1 в России",SMLT,4885.0,4910.2,4928.0,4741.4,4730.0,4820.0,4875.8,4658.6,4704.4,4730.2,4748.0,4457.6,5110.0,4710.0,5500.0,4660.0
2021-11-02 07:21:35+00:00,"Обзор. Сегежа  — компания роста с апсайдом 50%.    Сегежа может забрать себе весь рост рынка лесозаготовки и деревообработки. При этом компания обладает большим потенциалом роста и зарабатывает больше аналогов за счёт более низкой себестоимости производства.  Даже при коррекции цен на продукцию это может помочь Сегеже практически удвоить выручку и EBITDA к 2025 году.  Подробнее в новом обзоре     Справедливая стоимость Сегежа SGZH 16.1 руб., апсайд +49%",SGZH,10.861,10.5,11.2,10.211,10.576,10.996,11.179,10.052,10.1,10.67,10.887,9.636,10.679,10.23,10.896,10.111
2021-11-02 07:01:11+00:00,МСФО Сегежи  за 9 месяцев 2021  Выручка 68.3 млрд руб +36% г/г Скорректированная OIBDA 24 млрд руб 2х г/г Чистая прибыль 11 млрд руб годом ранее убыток 5.5 млрд   Презентация с подробными результатами,SGZH,10.861,10.5,11.2,10.211,10.576,10.996,11.179,10.052,10.1,10.67,10.887,9.636,10.679,10.23,10.896,10.111
2021-11-02 06:30:01+00:00,Самолет  выходит на рынок элитной недвижимости. Компания планирует реализовывать партнерство с Интеко.,SMLT,4885.0,4910.2,4928.0,4741.4,4730.0,4820.0,4875.8,4658.6,4704.4,4730.2,4748.0,4457.6,5110.0,4710.0,5500.0,4660.0
2021-11-02 06:30:01+00:00,Московская биржа   публикация объемов торгов за октябрь.,MOEX,169.64,172.97,174.26,167.68,161.8,169.27,173.7,160.78,150.05,161.5,162.96,149.5,157.8,151.89,163.42,148.74
2021-11-02 06:30:01+00:00,ИСКЧ   РСБУ 3кв2021.,ISKJ,124.3,87.59,177.0,85.9,133.16,126.08,159.0,122.2,127.95,135.5,143.7,124.32,114.51,128.92,130.44,112.0
2021-11-01 06:30:01+00:00,Газпром  с 1 ноября начинает поставки газа в Молдавию по новому пятилетнему контракту с нефтяной привязкой контрактов.,GAZP,333.6,353.0,356.34,331.0,337.62,333.8,359.32,331.61,326.0,334.99,348.0,310.62,345.99,335.0,353.13,331.5
2021-11-01 06:30:01+00:00,АФК Система  оказалась связана с производством воды Архыз и может объединить дистрибуцию с Ессентуками.,AFKS,27.41,28.1,28.5,27.239,27.001,27.49,28.1,26.475,25.201,26.995,27.088,24.72,24.474,25.22,25.768,24.2
2021-11-01 06:30:01+00:00,Мать и дитя   операционные результаты за 3кв2021.,MDMG,849.2,863.8,885.0,844.0,830.0,863.2,869.9,825.0,825.4,842.5,844.5,767.1,827.4,840.5,861.9,819.0
